                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.39987,                0.25357,                0.83292,                0.46604,                0.21146,                0.84866,                0.93119,                0.91956,                0.96174,                0.82644,                0.52649,                0.33637,                0.83677,                0.62924,                0.35491,                0.86658,              0.0004358,              0.0004358,              0.0004358
                     82,                  0.427,                0.26951,                0.82649,                0.51868,                0.23997,                0.84675,                0.90575,                0.92405,                0.95533,                 0.8021,                0.55933,                 0.3607,                 0.8489,                0.69162,                0.39916,                0.88856,               0.000416,               0.000416,               0.000416
                     83,                0.41246,                0.25881,                0.82718,                0.48858,                0.22146,                0.83879,                0.90569,                0.91109,                0.95355,                0.80123,                0.56171,                0.36765,                0.85682,                0.68092,                0.41393,                0.89491,              0.0003962,              0.0003962,              0.0003962
                     84,                0.40504,                0.26732,                0.83428,                0.46962,                0.21928,                0.85432,                0.91114,                0.92308,                0.96016,                0.81066,                0.55015,                 0.3536,                0.85048,                0.65901,                0.38231,                 0.8853,              0.0003764,              0.0003764,              0.0003764
                     85,                0.40654,                0.26564,                0.83299,                 0.4825,                0.22995,                 0.8514,                 0.9205,                0.93515,                 0.9636,                0.81406,                0.54505,                0.34047,                0.84843,                0.66222,                0.35048,                0.88242,              0.0003566,              0.0003566,              0.0003566
                     86,                0.39158,                0.25027,                0.83095,                0.46757,                0.20717,                0.84811,                0.94138,                0.92655,                0.96721,                0.82808,                 0.5289,                0.32138,                0.84203,                 0.6108,                0.33666,                0.85837,              0.0003368,              0.0003368,              0.0003368
                     87,                0.40484,                0.25485,                0.81127,                 0.4764,                0.20065,                0.82281,                0.93988,                0.94207,                0.97022,                0.83057,                0.51515,                0.31012,                0.83775,                0.60322,                0.32907,                0.85158,               0.000317,               0.000317,               0.000317
                     88,                0.39398,                0.24932,                0.80334,                0.49343,                 0.2057,                0.81939,                0.93477,                0.93694,                 0.9695,                0.83478,                0.51143,                0.30431,                0.83543,                0.60318,                 0.3233,                 0.8488,              0.0002972,              0.0002972,              0.0002972
                     89,                0.39215,                0.25258,                0.83188,                0.48017,                0.23543,                0.85396,                0.94287,                0.92821,                0.96968,                0.83372,                0.50987,                0.30363,                0.83545,                0.60063,                0.31796,                0.85197,              0.0002774,              0.0002774,              0.0002774
                     90,                0.38746,                0.24885,                0.82138,                0.44654,                0.20748,                0.83356,                 0.9334,                0.93437,                0.96781,                0.83622,                0.50017,                 0.3065,                0.83131,                0.59611,                0.31698,                0.85496,              0.0002576,              0.0002576,              0.0002576
                     91,                0.33778,                0.23499,                0.79862,                 0.3868,                 0.1796,                0.81442,                0.94306,                 0.9141,                0.96757,                0.83495,                0.50325,                0.30859,                0.83374,                0.59551,                0.33633,                0.85913,              0.0002378,              0.0002378,              0.0002378
                     92,                0.33939,                0.22885,                0.81538,                0.38185,                 0.1591,                0.82618,                0.93259,                0.92228,                 0.9664,                0.83727,                 0.5018,                0.30631,                0.83443,                0.59015,                0.33333,                0.85597,               0.000218,               0.000218,               0.000218
                     93,                0.32781,                0.21872,                0.80146,                0.36927,                 0.1509,                0.81084,                0.96064,                0.90256,                0.96603,                0.83647,                0.50079,                0.30428,                0.83419,                0.58943,                0.33104,                0.85563,              0.0001982,              0.0001982,              0.0001982
                     94,                0.31102,                0.21056,                0.80529,                0.35387,                0.15715,                0.81952,                0.97521,                0.90897,                0.96679,                0.84003,                 0.4962,                0.30151,                0.83118,                0.58411,                0.32777,                0.85227,              0.0001784,              0.0001784,              0.0001784
                     95,                0.33143,                0.22542,                 0.8115,                0.37747,                0.16054,                0.82182,                0.97272,                0.91422,                0.96503,                0.84094,                0.49635,                0.30643,                0.83052,                0.58548,                0.33416,                0.85349,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.3372,                0.22515,                 0.8046,                0.37928,                0.16283,                0.81354,                0.96484,                0.91468,                0.96335,                0.83882,                0.49844,                 0.3103,                0.83338,                0.58917,                0.33976,                0.85483,              0.0001388,              0.0001388,              0.0001388
                     97,                0.32387,                 0.2126,                0.81073,                0.34912,                 0.1469,                0.81616,                0.95209,                0.91719,                0.96162,                 0.8381,                0.49841,                0.31034,                0.83488,                0.59172,                0.33993,                0.85724,               0.000119,               0.000119,               0.000119
                     98,                 0.3354,                0.21799,                0.80717,                0.36915,                0.14157,                0.81522,                0.95207,                0.91672,                0.96176,                0.83694,                0.49443,                0.30684,                0.83468,                0.58676,                0.34262,                0.85669,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.3105,                0.20831,                0.80947,                 0.3463,                0.14741,                0.81692,                0.95929,                0.90641,                0.96397,                0.83795,                0.48979,                0.30391,                0.83342,                0.58483,                0.33394,                0.85814,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.31287,                0.21408,                 0.8098,                0.35889,                0.15762,                0.82646,                0.96059,                0.90128,                0.96434,                0.84104,                 0.4883,                0.30289,                0.83282,                0.58216,                0.33527,                0.85689,               5.96e-05,               5.96e-05,               5.96e-05
